response,age,income,response_pt_2,age_range,trigrams
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,"[('forces', 'go', 'buy'), ('go', 'buy', 'food'), ('buy', 'food', 'household'), ('food', 'household', 'goods'), ('household', 'goods', 'often'), ('goods', 'often', 'enough'), ('often', 'enough', 'money'), ('enough', 'money', 'one'), ('money', 'one', 'time')]"
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,"[('doctor', 'visits', 'postponed')]"
It has made me broke,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me broke,18-24,[]
1 Became Homeless,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 Became Homeless,25-34,[]
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,"[('makes', 'harder', 'buy'), ('harder', 'buy', 'food'), ('buy', 'food', 'pay'), ('food', 'pay', 'bills')]"
Its hurt my financials,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Its hurt my financials,35-44,[]
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,[]
1am going broke,48.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1am going broke,45-54,"[('1am', 'going', 'broke')]"
this aid helped me and my family,49.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  this aid helped me and my family,45-54,"[('aid', 'helped', 'family')]"
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,"[('trouble', 'trying', 'get'), ('trying', 'get', 'ends'), ('get', 'ends', 'meet')]"
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,"[('ca', 'afford', 'te'), ('afford', 'te', 'usual'), ('te', 'usual', 'things')]"
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,"[('fine', 'hoping', 'second'), ('hoping', 'second', 'one')]"
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,"[('retired', 'increased', 'food'), ('increased', 'food', 'costs'), ('food', 'costs', 'etc'), ('costs', 'etc', 'made'), ('etc', 'made', 'hard'), ('made', 'hard', 'budget'), ('hard', 'budget', 'survive')]"
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,"[('sure', 'yet', 'worried')]"
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,"[('rough', 'want', 'everything'), ('want', 'everything', 'back'), ('everything', 'back', 'normal')]"
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,"[('son', 'lives', 'home'), ('lives', 'home', 'lost'), ('home', 'lost', 'job'), ('lost', 'job', 'lowers'), ('job', 'lowers', 'income')]"
its rough to pay bills,46.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  its rough to pay bills,45-54,"[('rough', 'pay', 'bills')]"
It has made me anxious.,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me anxious.,65+,[]
Will be tougher to pay bills,62.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Will be tougher to pay bills,55-64,"[('tougher', 'pay', 'bills')]"
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,"[('makes', 'harder', 'buy'), ('harder', 'buy', 'food'), ('buy', 'food', 'pay'), ('food', 'pay', 'bills')]"
can't go to store when i need too,57.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  can't go to store when i need too,55-64,"[('ca', 'go', 'store'), ('go', 'store', 'need')]"
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,"[('stressful', 'hope', 'get'), ('hope', 'get', 'help'), ('get', 'help', 'pay'), ('help', 'pay', 'bills'), ('pay', 'bills', 'food'), ('bills', 'food', 'survive')]"
Need to have more stimulus payments,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Need to have more stimulus payments,55-64,"[('need', 'stimulus', 'payments')]"
No food,20.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  No food,18-24,[]
