response,age,income,response_pt_2,age_range,tokens
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,forces
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,buy
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,food
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,household
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,goods
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,money
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,time
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,doctor
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,visits
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,postponed
It has made me broke,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me broke,18-24,broke
1 Became Homeless,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 Became Homeless,25-34,homeless
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,makes
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,harder
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,buy
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,food
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,pay
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,bills
Its hurt my financials,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Its hurt my financials,35-44,hurt
Its hurt my financials,44.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Its hurt my financials,35-44,financials
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,going
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,evicted
1am going broke,48.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1am going broke,45-54,going
1am going broke,48.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  1am going broke,45-54,broke
this aid helped me and my family,49.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  this aid helped me and my family,45-54,aid
this aid helped me and my family,49.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  this aid helped me and my family,45-54,helped
this aid helped me and my family,49.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  this aid helped me and my family,45-54,family
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,having
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,trouble
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,trying
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,ends
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,meet
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,afford
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,te
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,usual
can't afford te usual things,65.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  can't afford te usual things,65+,things
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,fine
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,hoping
"I'm fine, and hoping for the second one",42.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  I'm fine, and hoping for the second one",35-44,second
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,retired
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,increased
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,food
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,costs
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,etc
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,hard
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,budget
Retired and increased food costs etc made it hard to budget and survive,68.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Retired and increased food costs etc made it hard to budget and survive ,65+,survive
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,sure
I’m not sure yet. I’m worried,30.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I’m not sure yet. I’m worried,25-34,worried
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,rough
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,want
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,normal
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,son
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,lives
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,home
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,lost
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,job
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,lowers
My son lives at home and lost his job which lowers our income,39.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income ,35-44,income
its rough to pay bills,46.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  its rough to pay bills,45-54,rough
its rough to pay bills,46.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  its rough to pay bills,45-54,pay
its rough to pay bills,46.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  its rough to pay bills,45-54,bills
It has made me anxious.,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made me anxious.,65+,anxious
Will be tougher to pay bills,62.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Will be tougher to pay bills,55-64,tougher
Will be tougher to pay bills,62.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Will be tougher to pay bills,55-64,pay
Will be tougher to pay bills,62.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Will be tougher to pay bills,55-64,bills
